Task_name,Input_data_size,Duration(s),maxExecutor,hibench.workload.datasize
wordcount_039,111687031454 ,235.416,15,108800000000 
wordcount_040,118256769073 ,168.808,19,115200000000 
wordcount_041,124826757585 ,66.839,64,121600000000 
wordcount_042,105117139445 ,221.208,14,102400000000 
wordcount_043,197094733183 ,182.019,22,192000000000 
wordcount_044,118256872374 ,351.245,9,115200000000 
wordcount_045,151106000853 ,439.657,9,147200000000 
wordcount_046,203664823839 ,226.796,29,198400000000 
wordcount_047,256223326100 ,338.95,25,249600000000 
wordcount_048,210234583236 ,203.077,29,204800000000 
wordcount_049,144536249940 ,425.833,7,140800000000 
wordcount_050,105117328544 ,952.478,3,102400000000 
wordcount_051,532156124652 ,207.429,78,518400000000 
wordcount_052,223374302758 ,305.312,21,217600000000 
wordcount_053,137966378542 ,184.391,15,134400000000 
wordcount_054,177385310649 ,286.123,19,172800000000 
wordcount_055,105117148394 ,330.112,6,102400000000 
wordcount_056,157675754566 ,167.742,19,153600000000 
wordcount_057,118256842699 ,140.377,28,115200000000 
wordcount_058,111687134507 ,601.45,4,108800000000 
wordcount_059,131396513214 ,232.698,13,128000000000 
wordcount_060,183955266195 ,205.185,18,179200000000 
wordcount_061,473027372741 ,165.244,60,460800000000 
wordcount_062,354770630335 ,277.926,50,345600000000 
wordcount_063,328491466396 ,213.875,57,320000000000 
wordcount_064,282502666896 ,166.928,66,275200000000 
wordcount_065,400759427696 ,311.334,57,390400000000 
wordcount_066,210234399412 ,180.659,42,204800000000 
wordcount_067,111687214388 ,141.829,36,108800000000 
wordcount_068,335061118717 ,387.157,36,326400000000 
wordcount_069,164245797520 ,603.815,10,160000000000 
wordcount_070,105117203776 ,210.133,16,102400000000 
wordcount_071,131396593402 ,558.65,6,128000000000 
wordcount_072,105117219456 ,208.464,24,102400000000 
wordcount_073,243083689818 ,276.396,24,236800000000 
wordcount_074,124826629583 ,181.959,32,121600000000 
wordcount_075,519016401110 ,185.508,72,505600000000 
wordcount_076,105117209784 ,66.174,60,102400000000 
wordcount_077,295642241565 ,179.469,33,288000000000 
wordcount_078,151106025412 ,220.555,24,147200000000 
wordcount_079,223374184009 ,394.702,24,217600000000 
wordcount_080,137966498150 ,409.146,9,134400000000 
wordcount_081,308782020590 ,298.864,80,300800000000 
wordcount_082,341631060218 ,370.745,40,332800000000 
wordcount_083,413899063319 ,198.018,48,403200000000 
wordcount_084,124826600076 ,252.432,20,121600000000 
wordcount_085,243083747477 ,153.123,72,236800000000 
wordcount_086,262793267785 ,89.755,48,256000000000 
wordcount_087,374480292965 ,198.177,52,364800000000 
wordcount_088,321921383953 ,299.067,42,313600000000 
wordcount_089,164245624178 ,301.044,18,160000000000 
wordcount_090,177385303187 ,385.607,16,172800000000 
wordcount_091,256223428911 ,142.734,33,249600000000 
wordcount_092,236513825496 ,217.087,48,230400000000 
wordcount_093,170815539807 ,159.307,52,166400000000 
wordcount_094,381049877442 ,265.895,54,371200000000 
wordcount_095,151105936508 ,301.088,12,147200000000 
wordcount_096,335061065866 ,286.474,45,326400000000 
wordcount_097,289072260967 ,272.311,40,281600000000 
wordcount_098,190525021865 ,206.468,42,185600000000 
wordcount_099,111687228527 ,299.144,12,108800000000 
wordcount_100,183955074475 ,236.56,35,179200000000 
wordcount_101,985474188363 ,174.792,200,960000000000 
wordcount_102,985473886047 ,200.849,200,960000000000 
wordcount_103,985474121598 ,122.666,1000,960000000000 
wordcount_104,985474256506 ,135.653,1000,960000000000 
wordcount_105,985473921348 ,119.944,1000,960000000000 
