Task_name,Input_data_size,Duration(s),maxExecutor,hibench.rf.examples
rf_4,16321228680,506.56,16,20400
rf_5,19201445400,473.971,18,24000
rf_6,19201445400,430.813,19,24000
rf_7,48003612600,514.617,50,60000
rf_8,6720506280,873.909,3,8400
rf_9,48003612600,386.985,49,60000
rf_10,11040832568,485.922,11,13800
rf_11,10080760328,409.099,11,12600
rf_12,10560795240,388.943,10,13200
rf_13,10560795240,404.218,11,13200
rf_14,12000904808,308.5,24,15000
rf_15,8160615848,1186.108,3,10200
rf_16,6720506280,923.652,3,8400
rf_17,12000904808,482.869,10,15000
rf_18,8640650760,264.165,23,10800
rf_19,7680578520,341.986,10,9600
rf_20,11520867480,488.635,11,14400
rf_21,9600723000,390.82,11,12000
rf_22,6240471368,313.143,10,7800
rf_23,9120688088,347.161,11,11400
rf_24,15841193768,422.879,24,19800
rf_25,7680578520,1064.714,3,9600
rf_26,2400182408,396.398,3,3000
rf_27,10080760328,454.959,10,12600
rf_28,12960977048,328.712,23,16200
rf_29,5760434040,276.843,10,7200
rf_30,7680578520,418.581,11,9600
rf_31,28802167800,422.971,70,36000
rf_32,9600723000,297.778,23,12000
rf_33,14881121528,388.534,21,18600
rf_34,19681482728,425.719,27,24600
rf_35,9120688088,483.715,8,11400
rf_36,9120688088,399.336,15,11400
rf_37,15841193768,426.937,20,19800
rf_38,5280399128,551.357,4,6600
rf_39,8160615848,280.871,15,10200
rf_40,8640650760,324.505,19,10800
rf_41,9120688088,178.848,64,11400
rf_42,7680578520,419.1,14,9600
rf_43,14401084200,389.614,22,18000
rf_44,8640650760,509.711,9,10800
rf_45,11040832568,638.484,9,13800
rf_46,14881121528,302.425,29,18600
rf_47,18721410488,358.672,25,23400
rf_48,15361156440,280.225,29,19200
rf_49,10560795240,700.746,7,13200
rf_50,5280399128,877.664,3,6600
rf_51,38882927528,343.263,78,48600
rf_52,16321228680,378.02,21,20400
rf_53,10080760328,314.64,15,12600
rf_54,12960977048,335.215,19,16200
rf_55,7680578520,644.52,6,9600
rf_56,11520867480,351.442,19,14400
rf_57,8640650760,200.098,28,10800
rf_58,8160615848,875.974,4,10200
rf_59,9600723000,354.92,13,12000
rf_60,13441011960,361.611,18,16800
rf_61,34562601240,322.759,60,43200
rf_62,25921951080,298.307,50,32400
rf_63,24001806600,234.283,57,30000
rf_64,20641554968,203.335,66,25800
