Task_name,Input_data_size,Duration(s),maxExecutor,hibench.pagerank.pages
pagerank_94,1694678479,131.629,54,2900000
pagerank_95,623044633,128.691,12,1150000
pagerank_96,1479458389,170.911,45,2550000
pagerank_97,1265071694,119.985,40,2200000
pagerank_98,806196275,102.813,42,1450000
pagerank_99,449788967,108.897,12,850000
pagerank_100,775643421,118.361,35,1400000
pagerank_101,2684009452,170.438,200,4500000
pagerank_102,2684009452,178.484,1000,4500000
pagerank_103,2374622163,553.555,5,4000000
pagerank_104,2374622163,343.424,10,4000000
pagerank_105,2374622163,230.756,15,4000000
pagerank_106,2374622163,218.267,20,4000000
pagerank_107,2374622163,180.195,25,4000000
pagerank_108,2374622163,209.551,30,4000000
pagerank_109,2374622163,143.973,35,4000000
pagerank_110,2374622163,145.836,40,4000000
pagerank_111,2374622163,236.402,45,4000000
pagerank_112,2374622163,136.284,50,4000000
pagerank_1,205926582,143.748,3,400000
pagerank_2,2993448066,349.698,17,5000000
pagerank_3,205926582,90.826,4,400000
pagerank_4,959058976,124.079,16,1700000
pagerank_5,1142586071,131.074,18,2000000
pagerank_6,1142586071,126.52,19,2000000
pagerank_7,2993448066,186.129,50,5000000
pagerank_8,368340469,207.437,3,700000
pagerank_9,2993448066,206.115,49,5000000
pagerank_10,623044633,104.39,11,1150000
pagerank_11,561991495,123.472,11,1050000
pagerank_12,592523521,106.345,10,1100000
pagerank_13,592523521,107.051,11,1100000
pagerank_14,684042396,104.464,24,1250000
pagerank_15,449788967,181.361,3,850000
pagerank_16,368340469,180.212,3,700000
pagerank_17,684042396,115.501,10,1250000
pagerank_18,476978293,101.279,23,900000
pagerank_19,422625339,87.707,10,800000
pagerank_20,653546522,145.78,11,1200000
pagerank_21,531470496,102.588,11,1000000
pagerank_22,341199485,89.86,10,650000
pagerank_23,504218743,108.651,11,950000
pagerank_24,928486613,127.119,24,1650000
pagerank_25,422625339,168.228,3,800000
pagerank_26,125209992,95.489,3,250000
pagerank_27,561991495,172.34,10,1050000
pagerank_28,745080459,112.952,23,1350000
pagerank_29,314078848,100.77,10,600000
pagerank_30,422625339,108.002,11,800000
pagerank_31,1756435607,139.558,70,3000000
pagerank_32,531470496,110.181,23,1000000
pagerank_33,867330239,107.698,21,1550000
pagerank_34,1173197093,123.629,27,2050000
pagerank_35,504218743,140.393,8,950000
pagerank_36,504218743,133.599,15,950000
pagerank_37,928486613,134.248,20,1650000
pagerank_38,286965088,104.993,4,550000
pagerank_39,449788967,159.82,15,850000
pagerank_40,476978293,98.064,19,900000
pagerank_41,504218743,108.454,64,950000
pagerank_42,422625339,110.732,14,800000
pagerank_43,836736090,126.035,22,1500000
pagerank_44,476978293,107.748,9,900000
pagerank_45,623044633,127.331,9,1150000
pagerank_46,867330239,100.224,29,1550000
pagerank_47,1111978314,126.539,25,1950000
pagerank_48,897906006,139.726,29,1600000
pagerank_49,592523521,130.854,7,1100000
pagerank_50,286965088,105.241,3,550000
pagerank_51,2405573887,145.7,78,4050000
pagerank_52,959058976,146.687,21,1700000
pagerank_53,561991495,138.508,15,1050000
