Task_name,Input_data_size,Duration(s),maxExecutor,hibench.summarizer.examples
summarizer_64,51604322800,63.137,66,129000
summarizer_65,73206131800,73.944,57,183000
summarizer_66,38403216600,64.246,42,96000
summarizer_67,20401709800,55.301,36,51000
summarizer_68,61205126800,69.969,36,153000
summarizer_69,36003015600,92.995,10,90000
summarizer_70,19201608600,50.029,16,48000
summarizer_71,24002010600,93.086,6,60000
summarizer_72,19201608600,58.502,24,48000
summarizer_73,44403719800,95.697,24,111000
summarizer_74,22801910800,43.843,32,57000
summarizer_75,94807940800,68.703,72,237000
summarizer_76,19201608600,59.021,60,48000
summarizer_77,54004523800,101.455,33,135000
summarizer_78,27602312800,96.062,24,69000
summarizer_79,40803417600,93.567,24,102000
summarizer_80,25202111800,109.438,9,63000
summarizer_81,56404724800,64.84,80,141000
summarizer_82,62405226600,83.264,40,156000
summarizer_83,75606332800,79.972,48,189000
summarizer_84,22801910800,64.525,20,57000
summarizer_85,44403719800,52.458,72,111000
summarizer_86,48004020600,57.879,48,120000
summarizer_87,68405729800,70.434,52,171000
summarizer_88,58804925800,75.461,42,147000
summarizer_89,30002513800,62.652,18,75000
summarizer_90,32402714800,73.399,16,81000
summarizer_91,46803920800,65.601,33,117000
summarizer_92,43203618600,76.812,48,108000
summarizer_93,31202613600,46.795,52,78000
summarizer_94,69605829600,66.598,54,174000
summarizer_95,27602312800,88.835,12,69000
summarizer_96,61205126800,78.324,45,153000
summarizer_97,52804422600,65.028,40,132000
summarizer_98,34802915800,55.188,42,87000
summarizer_99,20401709800,59.066,12,51000
summarizer_100,33602814600,55.941,35,84000
summarizer_101,180015075600,79.433,200,450000
summarizer_102,180015075600,75.091,200,450000
summarizer_103,180015075600,84.645,1000,450000
summarizer_104,180015075600,96.161,1000,450000
summarizer_105,180015075600,87.763,1000,450000
summarizer_106,12005025600,33.823,20,150000
summarizer_107,24005025600,52.692,20,150000
summarizer_108,36005025600,66.176,20,150000
summarizer_109,48005025600,78.283,20,150000
summarizer_110,60005025600,76.271,20,150000
summarizer_111,72005025600,92.755,20,150000
summarizer_112,84005025600,112.553,20,150000
summarizer_113,96005025600,131.469,20,150000
summarizer_114,108005025600,155.982,20,150000
summarizer_115,120005025600,178.568,20,150000
summarizer_116,20001675600,63.692,20,50000
summarizer_117,28002345600,62.643,20,70000
summarizer_118,36003015600,62.091,20,90000
summarizer_119,44003685600,68.664,20,110000
summarizer_120,52004355600,82.846,20,130000
summarizer_121,60005025600,88.615,20,150000
summarizer_122,68005695600,82.871,20,170000
summarizer_123,76006365600,82.154,20,190000
summarizer_124,84007035600,104.216,20,210000
summarizer_125,92007705600,99.461,20,230000
summarizer_126,60005025600,176.436,5,150000
summarizer_127,60005025600,117.256,10,150000
summarizer_128,60005025600,86.441,15,150000
summarizer_129,60005025600,79.459,20,150000
summarizer_130,60005025600,72.094,25,150000
summarizer_131,60005025600,57.415,30,150000
summarizer_132,60005025600,63.194,35,150000
summarizer_133,60005025600,65.84,40,150000
summarizer_134,60005025600,59.408,45,150000
summarizer_135,60005025600,51.489,50,150000
summarizer_1,9600804600,80.475,3,24000
summarizer_2,120010050600,146.93,17,300000
summarizer_3,9600804600,60.991,4,24000
summarizer_4,40803417600,65.598,16,102000
summarizer_5,48004020600,77.29,18,120000
summarizer_6,48004020600,76.475,19,120000
summarizer_7,120010050600,86.397,50,300000
summarizer_8,16801407600,155.999,3,42000
summarizer_9,120010050600,76.253,49,300000
summarizer_10,27602312800,68.723,11,69000
summarizer_11,25202111800,64.833,11,63000
summarizer_12,26402211600,69.176,10,66000
summarizer_13,26402211600,58.712,11,66000
summarizer_14,30002513800,54.74,24,75000
summarizer_15,20401709800,143.08,3,51000
summarizer_16,16801407600,127.859,3,42000
summarizer_17,30002513800,73.106,10,75000
summarizer_18,21601809600,48.066,23,54000
summarizer_19,19201608600,61.899,10,48000
summarizer_20,28802412600,72.854,11,72000
summarizer_21,24002010600,68.125,11,60000
summarizer_22,15601307800,54.332,10,39000
summarizer_23,22801910800,73.61,11,57000
summarizer_24,39603317800,57.441,24,99000
summarizer_25,19201608600,106.211,3,48000
summarizer_26,6000503800,62.668,3,15000
summarizer_27,25202111800,73.385,10,63000
summarizer_28,32402714800,57.372,23,81000
summarizer_29,14401206600,58.282,10,36000
summarizer_30,19201608600,61.252,11,48000
summarizer_31,72006030600,54.985,70,180000
summarizer_32,24002010600,53.935,23,60000
summarizer_33,37203116800,56.121,21,93000
summarizer_34,49204121800,68.67,27,123000
summarizer_35,22801910800,77.842,8,57000
summarizer_36,22801910800,55.242,15,57000
summarizer_37,39603317800,72.42,20,99000
summarizer_38,13201106800,75.883,4,33000
summarizer_39,20401709800,55.843,15,51000
summarizer_40,21601809600,56.575,19,54000
summarizer_41,22801910800,52.498,64,57000
summarizer_42,19201608600,52.763,14,48000
summarizer_43,36003015600,59.197,22,90000
summarizer_44,21601809600,75.662,9,54000
summarizer_45,27602312800,75.571,9,69000
summarizer_46,37203116800,56.035,29,93000
summarizer_47,46803920800,55.197,25,117000
summarizer_48,38403216600,51.509,29,96000
summarizer_49,26402211600,83.359,7,66000
summarizer_50,13201106800,76.183,3,33000
summarizer_51,97208141800,63.246,78,243000
summarizer_52,40803417600,74.451,21,102000
summarizer_53,25202111800,65.368,15,63000
summarizer_54,32402714800,58.004,19,81000
summarizer_55,19201608600,83.649,6,48000
summarizer_56,28802412600,65.084,19,72000
summarizer_57,21601809600,45.264,28,54000
summarizer_58,20401709800,137.001,4,51000
summarizer_59,24002010600,66.121,13,60000
summarizer_60,33602814600,64.294,18,84000
summarizer_61,86407236600,76.421,60,216000
summarizer_62,64805427600,57.915,50,162000
summarizer_63,60005025600,52.832,57,150000
summarizer_64,51604322800,49.943,66,129000
summarizer_65,73206131800,60.238,57,183000
summarizer_66,38403216600,48.111,42,96000
summarizer_67,20401709800,46.589,36,51000
summarizer_68,61205126800,56.133,36,153000
summarizer_69,36003015600,90.632,10,90000
summarizer_70,19201608600,50.239,16,48000
summarizer_71,24002010600,90.616,6,60000
summarizer_72,19201608600,48.623,24,48000
summarizer_73,44403719800,72.472,24,111000
summarizer_74,22801910800,52.893,32,57000
summarizer_75,94807940800,68.143,72,237000
summarizer_76,19201608600,48.231,60,48000
summarizer_77,54004523800,65.403,33,135000
summarizer_78,27602312800,47.817,24,69000
summarizer_79,40803417600,61.691,24,102000
summarizer_80,25202111800,77.529,9,63000
summarizer_81,56404724800,54.355,80,141000
summarizer_82,62405226600,64.452,40,156000
summarizer_83,75606332800,75.449,48,189000
summarizer_84,22801910800,63.11,20,57000
summarizer_85,44403719800,53.186,72,111000
summarizer_86,48004020600,62.433,48,120000
summarizer_87,68405729800,65.998,52,171000
summarizer_88,58804925800,48.873,42,147000
summarizer_89,30002513800,65.144,18,75000
summarizer_90,32402714800,56.94,16,81000
summarizer_91,46803920800,57.855,33,117000
summarizer_92,43203618600,56.285,48,108000
summarizer_93,31202613600,58.191,52,78000
summarizer_94,69605829600,50.836,54,174000
summarizer_95,27602312800,79.323,12,69000
summarizer_96,61205126800,55.984,45,153000
summarizer_97,52804422600,53.371,40,132000
summarizer_98,34802915800,40.649,42,87000
summarizer_99,20401709800,54.112,12,51000
summarizer_100,33602814600,68.044,35,84000
summarizer_101,180015075600,91.875,200,450000
summarizer_102,180015075600,58.922,200,450000
summarizer_103,180015075600,79.876,1000,450000
summarizer_104,180015075600,78.424,1000,450000
summarizer_105,180015075600,83.687,1000,450000
summarizer_106,12005025600,36.409,20,150000
summarizer_107,24005025600,55.326,20,150000
summarizer_108,36005025600,46.566,20,150000
summarizer_109,48005025600,81.625,20,150000
summarizer_110,60005025600,100.248,20,150000
summarizer_111,72005025600,90.197,20,150000
summarizer_112,84005025600,92.866,20,150000
summarizer_113,96005025600,141.813,20,150000
summarizer_114,108005025600,127.745,20,150000
summarizer_115,120005025600,210.222,20,150000
summarizer_116,20001675600,51.157,20,50000
summarizer_117,28002345600,72.546,20,70000
summarizer_118,36003015600,67.365,20,90000
