Task_name,Input_data_size,Duration(s),maxExecutor,hibench.gmm.num_of_samples
gmm_60,6024576686,112.218,18,28000000
gmm_61,15061436876,116.934,60,72000000
gmm_62,11045054436,98.511,50,54000000
gmm_63,10040958966,103.881,57,50000000
gmm_64,9036863417,106.767,66,43000000
gmm_65,13053245692,110.089,57,61000000
gmm_66,7028672222,88.153,42,32000000
gmm_67,4016385654,86.145,36,17000000
gmm_68,11045054480,112.488,36,51000000
gmm_69,6024576728,215.203,10,30000000
gmm_70,4016385602,97.397,16,16000000
gmm_71,4016385638,219.94,6,20000000
gmm_72,4016385558,98.005,24,16000000
gmm_73,8032767882,124.55,24,37000000
gmm_74,4016385622,95.49,32,19000000
gmm_75,16065532458,142.938,72,79000000
gmm_76,4016385578,102.179,60,16000000
gmm_77,9036863336,104.334,33,45000000
gmm_78,5020481191,105.798,24,23000000
gmm_79,7028672194,131.784,24,34000000
gmm_80,5020481141,155.971,9,21000000
gmm_81,10040958966,91.573,80,47000000
gmm_82,11045054436,124.211,40,52000000
gmm_83,13053245666,102.077,48,63000000
gmm_84,4016385602,72.719,20,19000000
gmm_85,8032767770,100.047,72,37000000
gmm_86,8032767906,109.37,48,40000000
gmm_87,12049150142,101.515,52,57000000
gmm_88,10040958986,99.286,42,49000000
gmm_89,5020481176,95.967,18,25000000
gmm_90,6024576680,162.034,16,27000000
gmm_91,8032767866,105.764,33,39000000
gmm_92,8032767842,96.063,48,36000000
gmm_93,6024576662,101.478,52,26000000
gmm_94,12049150046,99.611,54,58000000
gmm_95,5020481226,158.906,12,23000000
gmm_96,11045054579,105.76,45,51000000
gmm_97,9036863417,108.664,40,44000000
gmm_98,6024576776,89.388,42,29000000
gmm_99,4016385614,114.041,12,17000000
gmm_100,6024576836,86.131,35,28000000
gmm_101,15061436846,106.024,200,75000000
gmm_102,30122869856,108.923,200,150000000
gmm_103,15061436831,123.757,1000,75000000
gmm_104,30122870006,135.622,1000,150000000
gmm_105,45184303946,151.162,1000,225000000
gmm_106,2008194492,108.389,20,10000000
gmm_107,4016385638,94.814,20,20000000
gmm_108,6024576686,127.494,20,30000000
gmm_109,8032767778,127.894,20,40000000
gmm_110,10040959126,161.364,20,50000000
gmm_111,12049150250,225.335,20,60000000
gmm_112,14057341380,233.608,20,70000000
gmm_113,16065532410,295.008,20,80000000
gmm_114,18073723556,266.702,20,90000000
